slug,type,output_path,aspect,prompt,alt_en,alt_ar,alt_ru,kw,cluster,role
owns-rolls-royce-dubais-most-coveted-car,cover,public/images/blog/owns-rolls-royce-dubais-most-coveted-car-cover.jpg,1200x630,"Reverent close-up of the Spirit of Ecstasy mascot rising from a polished Rolls-Royce Phantom bonnet, backlit by Dubai golden-hour sun over the Downtown skyline softly blurred behind, chrome catching champagne light, a quiet emblem of ownership and heritage, cinematic editorial photography, photorealistic, shallow depth of field, refined warm-neutral color grade with deep blacks and champagne-gold accents, soft natural light, anamorphic feel, 8k, ultra-detailed, no text, no watermark --ar 1200:630","Spirit of Ecstasy on a Rolls-Royce Phantom against the Dubai skyline at golden hour.","تمثال سيدة النشوة على رولز رويس فانتوم أمام أفق دبي عند الغروب الذهبي.","Фигурка «Дух экстаза» на Rolls-Royce Phantom на фоне небоскрёбов Дубая в золотой час.","who owns rolls royce",BRAND-INFO,Pillar
owns-rolls-royce-dubais-most-coveted-car,inline,public/images/blog/owns-rolls-royce-dubais-most-coveted-car-inline.webp,1600x900,"A pristine Rolls-Royce Phantom parked at a five-star Dubai hotel porte-cochere at dusk, three-quarter front view, RR monogram on the grille glowing under warm portico lights, no people, the marque presented as the city's most coveted car, cinematic editorial photography, photorealistic, shallow depth of field, refined warm-neutral color grade with deep blacks and champagne-gold accents, soft natural light, anamorphic feel, 8k, ultra-detailed, no text, no watermark --ar 16:9","Spirit of Ecstasy on a Rolls-Royce Phantom against the Dubai skyline at golden hour.","تمثال سيدة النشوة على رولز رويس فانتوم أمام أفق دبي عند الغروب الذهبي.","Фигурка «Дух экстаза» на Rolls-Royce Phantom на фоне небоскрёбов Дубая в золотой час.","who owns rolls royce",BRAND-INFO,Pillar
owns-rolls-royce-dubai-insiders-brand,cover,public/images/blog/owns-rolls-royce-dubai-insiders-brand-cover.jpg,1200x630,"A gloved craftsman's hand polishing the enamel RR roundel badge on a Rolls-Royce Ghost bonnet, Goodwood-workshop feel, soft directional light revealing flawless paint depth, an insider's view of the marque, no identifiable face, cinematic editorial photography, photorealistic, shallow depth of field, refined warm-neutral color grade with deep blacks and champagne-gold accents, soft natural light, anamorphic feel, 8k, ultra-detailed, no text, no watermark --ar 1200:630","A craftsman polishes the RR badge on a Rolls-Royce Ghost in a Goodwood-style workshop.","حِرفيّ يُلمّع شعار رولز رويس على سيارة غوست بأسلوب ورشة غودوود.","Мастер полирует эмблему RR на Rolls-Royce Ghost в духе мастерской Goodwood.","owns rolls royce dubai insiders brand",BRAND-INFO,Supporting
owns-rolls-royce-dubai-insiders-brand,inline,public/images/blog/owns-rolls-royce-dubai-insiders-brand-inline.webp,1600x900,"A silver-grey Rolls-Royce Ghost on Sheikh Zayed Road at blue hour, low three-quarter rear angle, city lights streaking softly behind, the Pantheon grille and badge as quiet brand signatures, no people, no readable plate, cinematic editorial photography, photorealistic, shallow depth of field, refined warm-neutral color grade with deep blacks and champagne-gold accents, soft natural light, anamorphic feel, 8k, ultra-detailed, no text, no watermark --ar 16:9","A craftsman polishes the RR badge on a Rolls-Royce Ghost in a Goodwood-style workshop.","حِرفيّ يُلمّع شعار رولز رويس على سيارة غوست بأسلوب ورشة غودوود.","Мастер полирует эмблему RR на Rolls-Royce Ghost в духе мастерской Goodwood.","owns rolls royce dubai insiders brand",BRAND-INFO,Supporting
owns-rolls-royce-bmw-heritage-cars-rent-dubai,cover,public/images/blog/owns-rolls-royce-bmw-heritage-cars-rent-dubai-cover.jpg,1200x630,"A stately Rolls-Royce Phantom in deep midnight blue, hero three-quarter front view at a Dubai hotel forecourt at golden hour, the long bonnet and Pantheon grille commanding the frame, heritage and engineering refinement embodied, no people, no readable plate, cinematic editorial photography, photorealistic, shallow depth of field, refined warm-neutral color grade with deep blacks and champagne-gold accents, soft natural light, anamorphic feel, 8k, ultra-detailed, no text, no watermark --ar 1200:630","A midnight-blue Rolls-Royce Phantom at a Dubai hotel forecourt at golden hour.","رولز رويس فانتوم بلون أزرق ليلي أمام فندق في دبي عند الغروب الذهبي.","Тёмно-синий Rolls-Royce Phantom у въезда дубайского отеля в золотой час.","owns rolls royce bmw heritage cars dubai",BRAND-INFO,Supporting
owns-rolls-royce-bmw-heritage-cars-rent-dubai,inline,public/images/blog/owns-rolls-royce-bmw-heritage-cars-rent-dubai-inline.webp,1600x900,"Signature detail close-up of the Rolls-Royce Phantom's coach-door handle and hand-painted coachline along the flank, champagne light grazing the flawless lacquer, craftsmanship that outlives ownership eras, cinematic editorial photography, photorealistic, shallow depth of field, refined warm-neutral color grade with deep blacks and champagne-gold accents, soft natural light, anamorphic feel, 8k, ultra-detailed, no text, no watermark --ar 16:9","A midnight-blue Rolls-Royce Phantom at a Dubai hotel forecourt at golden hour.","رولز رويس فانتوم بلون أزرق ليلي أمام فندق في دبي عند الغروب الذهبي.","Тёмно-синий Rolls-Royce Phantom у въезда дубайского отеля в золотой час.","owns rolls royce bmw heritage cars dubai",BRAND-INFO,Supporting
spirit-ecstasy-owns-rolls-royce,cover,public/images/blog/spirit-ecstasy-owns-rolls-royce-cover.jpg,1200x630,"Intimate macro of the Spirit of Ecstasy mascot in polished silver, wings catching warm desert-edge sunset light at the Dubai dune horizon, the flying lady set against a soft amber sky, reverent and symbolic, cinematic editorial photography, photorealistic, shallow depth of field, refined warm-neutral color grade with deep blacks and champagne-gold accents, soft natural light, anamorphic feel, 8k, ultra-detailed, no text, no watermark --ar 1200:630","Close-up of the Spirit of Ecstasy mascot glowing at a Dubai desert sunset.","لقطة مقرّبة لتمثال سيدة النشوة يتلألأ عند غروب صحراء دبي.","Крупный план фигурки «Дух экстаза» на закате в дубайской пустыне.","spirit ecstasy owns rolls royce dubai",BRAND-INFO,Supporting
spirit-ecstasy-owns-rolls-royce,inline,public/images/blog/spirit-ecstasy-owns-rolls-royce-inline.webp,1600x900,"A Rolls-Royce Wraith coupe at the desert edge at dusk, three-quarter front view, the Spirit of Ecstasy crowning the bonnet against rolling golden dunes, sweeping fastback silhouette, no people, no readable plate, cinematic editorial photography, photorealistic, shallow depth of field, refined warm-neutral color grade with deep blacks and champagne-gold accents, soft natural light, anamorphic feel, 8k, ultra-detailed, no text, no watermark --ar 16:9","Close-up of the Spirit of Ecstasy mascot glowing at a Dubai desert sunset.","لقطة مقرّبة لتمثال سيدة النشوة يتلألأ عند غروب صحراء دبي.","Крупный план фигурки «Дух экстаза» на закате в дубайской пустыне.","spirit ecstasy owns rolls royce dubai",BRAND-INFO,Supporting
rolls-royce-owner-origins-heritage,cover,public/images/blog/rolls-royce-owner-origins-heritage-cover.jpg,1200x630,"Heritage craftsmanship still life, gloved hands hand-stitching the leather of a Rolls-Royce dashboard in a Goodwood-style atelier, fine thread and burr-walnut veneer in warm task light, origins and artistry of the marque, no identifiable face, cinematic editorial photography, photorealistic, shallow depth of field, refined warm-neutral color grade with deep blacks and champagne-gold accents, soft natural light, anamorphic feel, 8k, ultra-detailed, no text, no watermark --ar 1200:630","Artisan hand-stitches the leather interior of a Rolls-Royce in a Goodwood-style atelier.","حِرفيّ يخيط جلد المقصورة الداخلية لرولز رويس في ورشة بأسلوب غودوود.","Мастер вручную прошивает кожаный салон Rolls-Royce в ателье в духе Goodwood.","rolls royce owner origins heritage dubai",BRAND-INFO,Supporting
rolls-royce-owner-origins-heritage,inline,public/images/blog/rolls-royce-owner-origins-heritage-inline.webp,1600x900,"A burgundy Rolls-Royce Ghost parked at the Madinat Jumeirah waterfront at golden hour, low three-quarter front view, wind-tower architecture and palms softly behind, heritage elegance in a modern Dubai setting, no people, no readable plate, cinematic editorial photography, photorealistic, shallow depth of field, refined warm-neutral color grade with deep blacks and champagne-gold accents, soft natural light, anamorphic feel, 8k, ultra-detailed, no text, no watermark --ar 16:9","Artisan hand-stitches the leather interior of a Rolls-Royce in a Goodwood-style atelier.","حِرفيّ يخيط جلد المقصورة الداخلية لرولز رويس في ورشة بأسلوب غودوود.","Мастер вручную прошивает кожаный салон Rolls-Royce в ателье в духе Goodwood.","rolls royce owner origins heritage dubai",BRAND-INFO,Supporting
owns-rolls-royce-company-ownership-history-legacy,cover,public/images/blog/owns-rolls-royce-company-ownership-history-legacy-cover.jpg,1200x630,"The Spirit of Ecstasy and Pantheon grille of a black Rolls-Royce Phantom in dramatic low golden light against a softly blurred DIFC financial district at dusk, a portrait of corporate legacy and prestige, no people, cinematic editorial photography, photorealistic, shallow depth of field, refined warm-neutral color grade with deep blacks and champagne-gold accents, soft natural light, anamorphic feel, 8k, ultra-detailed, no text, no watermark --ar 1200:630","A black Rolls-Royce Phantom and Spirit of Ecstasy against Dubai's DIFC at dusk.","رولز رويس فانتوم سوداء وتمثال سيدة النشوة أمام مركز دبي المالي عند الغروب.","Чёрный Rolls-Royce Phantom и «Дух экстаза» на фоне финансового района DIFC в Дубае.","who owns the rolls royce company",BRAND-INFO,Pillar
owns-rolls-royce-company-ownership-history-legacy,inline,public/images/blog/owns-rolls-royce-company-ownership-history-legacy-inline.webp,1600x900,"A black Rolls-Royce Phantom outside the gates of DIFC at blue hour, three-quarter rear view, glass towers reflecting in the lacquer, the marque framed by Dubai's seat of finance, no people, no readable plate, cinematic editorial photography, photorealistic, shallow depth of field, refined warm-neutral color grade with deep blacks and champagne-gold accents, soft natural light, anamorphic feel, 8k, ultra-detailed, no text, no watermark --ar 16:9","A black Rolls-Royce Phantom and Spirit of Ecstasy against Dubai's DIFC at dusk.","رولز رويس فانتوم سوداء وتمثال سيدة النشوة أمام مركز دبي المالي عند الغروب.","Чёрный Rolls-Royce Phantom и «Дух экстаза» на фоне финансового района DIFC в Дубае.","who owns the rolls royce company",BRAND-INFO,Pillar
owns-rolls-royce-company-dubais-finest-fleet,cover,public/images/blog/owns-rolls-royce-company-dubais-finest-fleet-cover.jpg,1200x630,"A tasteful three-car Rolls-Royce lineup, a Phantom, a Ghost and a Cullinan, composed in a curved arc at a private Dubai marina at golden hour, gleaming flanks receding into soft depth, the company's finest fleet, no people, no readable plates, cinematic editorial photography, photorealistic, shallow depth of field, refined warm-neutral color grade with deep blacks and champagne-gold accents, soft natural light, anamorphic feel, 8k, ultra-detailed, no text, no watermark --ar 1200:630","A Rolls-Royce Phantom, Ghost and Cullinan lineup at a Dubai marina at golden hour.","أسطول من رولز رويس فانتوم وغوست وكولينان عند مرسى دبي في الساعة الذهبية.","Линейка Rolls-Royce Phantom, Ghost и Cullinan у дубайской марины в золотой час.","owns rolls royce company finest fleet dubai",BRAND-INFO,Supporting
owns-rolls-royce-company-dubais-finest-fleet,inline,public/images/blog/owns-rolls-royce-company-dubais-finest-fleet-inline.webp,1600x900,"Two Rolls-Royce sedans, a pearl-white Ghost beside a deep-black Phantom, parked at Dubai Marina promenade at blue hour, three-quarter front view, yacht masts and tower lights bokeh behind, the marque's quiet command, no people, no readable plate, cinematic editorial photography, photorealistic, shallow depth of field, refined warm-neutral color grade with deep blacks and champagne-gold accents, soft natural light, anamorphic feel, 8k, ultra-detailed, no text, no watermark --ar 16:9","A Rolls-Royce Phantom, Ghost and Cullinan lineup at a Dubai marina at golden hour.","أسطول من رولز رويس فانتوم وغوست وكولينان عند مرسى دبي في الساعة الذهبية.","Линейка Rolls-Royce Phantom, Ghost и Cullinan у дубайской марины в золотой час.","owns rolls royce company finest fleet dubai",BRAND-INFO,Supporting
marque-owns-rolls-royce-matters,cover,public/images/blog/marque-owns-rolls-royce-matters-cover.jpg,1200x630,"Macro of the enamel Rolls-Royce RR roundel badge on a deep-claret bonnet, dewy reflections and razor-sharp paint, the marque rendered as an icon worth understanding, warm directional light, cinematic editorial photography, photorealistic, shallow depth of field, refined warm-neutral color grade with deep blacks and champagne-gold accents, soft natural light, anamorphic feel, 8k, ultra-detailed, no text, no watermark --ar 1200:630","Close-up of the enamel RR roundel badge on a claret Rolls-Royce Ghost.","لقطة مقرّبة لشعار رولز رويس المينائي على سيارة غوست بلون كلاريت.","Крупный план эмалевой эмблемы RR на бордовом Rolls-Royce Ghost.","marque owns rolls royce matters dubai",BRAND-INFO,Supporting
marque-owns-rolls-royce-matters,inline,public/images/blog/marque-owns-rolls-royce-matters-inline.webp,1600x900,"A claret Rolls-Royce Ghost on a quiet Jumeirah avenue at golden hour, lined with palms, low three-quarter front view, the Pantheon grille and Spirit of Ecstasy leading the eye, no people, no readable plate, cinematic editorial photography, photorealistic, shallow depth of field, refined warm-neutral color grade with deep blacks and champagne-gold accents, soft natural light, anamorphic feel, 8k, ultra-detailed, no text, no watermark --ar 16:9","Close-up of the enamel RR roundel badge on a claret Rolls-Royce Ghost.","لقطة مقرّبة لشعار رولز رويس المينائي على سيارة غوست بلون كلاريت.","Крупный план эмалевой эмблемы RR на бордовом Rolls-Royce Ghost.","marque owns rolls royce matters dubai",BRAND-INFO,Supporting
owns-worlds-costliest-car-rolls-royce-ownership,cover,public/images/blog/owns-worlds-costliest-car-rolls-royce-ownership-cover.jpg,1200x630,"A regal Rolls-Royce Phantom Extended in pearl white, hero three-quarter front view beneath the Burj Khalifa in Downtown Dubai at blue hour, the world's costliest car presented with serene authority, Spirit of Ecstasy catching tower light, no people, no readable plate, cinematic editorial photography, photorealistic, shallow depth of field, refined warm-neutral color grade with deep blacks and champagne-gold accents, soft natural light, anamorphic feel, 8k, ultra-detailed, no text, no watermark --ar 1200:630","A pearl-white Rolls-Royce Phantom beneath the Burj Khalifa at blue hour.","رولز رويس فانتوم بلون أبيض لؤلؤي أسفل برج خليفة في الساعة الزرقاء.","Жемчужно-белый Rolls-Royce Phantom под Бурдж-Халифа в синий час.","who owns the costliest car in the world",BRAND-INFO,Pillar
